work_id,total_expenditure,expenditure_transaction_count,unique_vendor_count,duplicate_transaction_count,duplicate_group_count,potential_duplicate_amount_total,days_to_sanction,days_to_completion,expenditure_vs_sanction_ratio,disbursement_vs_sanction_ratio,last_expenditure_date,days_since_last_expenditure,expenditure_exceeds_sanction,disbursement_exceeds_sanction,completed_without_completion_date,completed_without_disbursement,expenditure_without_matching_work,high_transaction_count,multiple_vendors,has_potential_duplicate_transaction,potential_duplicate_transaction
WS/MP18192/2025-2026/216156,350000.0,1,1,0,0,0.0,7,211,1.0,1.0,2026-02-05,212,False,False,False,False,False,False,False,False,False
WS/MP18389/2024-2025/158928,,0,0,0,0,0.0,41,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18193/2025-2026/214233,904166.0,1,1,0,0,0.0,194,251,0.904166,0.904166,2026-03-11,178,False,False,False,False,False,False,False,False,False
WS/MP18189/2025-2026/182905,,0,0,0,0,0.0,86,270,,,,,False,False,False,True,False,False,False,False,False
WS/MP18190/2026-2027/212749,174367.0,1,1,0,0,0.0,327,,0.9963828571428571,,2026-05-20,108,False,False,False,False,False,False,False,False,False
WS/MP18338/2025-2026/157821,149853.0,1,1,0,0,0.0,184,185,1.0,1.0,2025-06-13,449,False,False,False,False,False,False,False,False,False
WS/MP770/2025-2026/225549,,0,0,0,0,0.0,24,,,,,,False,False,False,False,False,False,False,False,False
WS/MP761/2026-2027/171646,350000.0,1,1,0,0,0.0,444,446,1.0,1.0,2026-04-25,133,False,False,False,False,False,False,False,False,False
WS/MP18189/2026-2027/242610,499498.0,1,1,0,0,0.0,225,,0.998996,,2026-08-12,24,False,False,False,False,False,False,False,False,False
WS/MP18194/2026-2027/236865,100000.0,1,1,0,0,0.0,234,,1.0,,2026-05-21,107,False,False,False,False,False,False,False,False,False
WS/MP18193/2025-2026/175995,285945.0,1,1,0,0,0.0,46,401,0.95315,0.95315,2026-04-07,151,False,False,False,False,False,False,False,False,False
WS/MP18193/2025-2026/208452,615851.0,1,1,0,0,0.0,60,,0.41056733333333334,,2026-06-23,74,False,False,False,False,False,False,False,False,False
WS/MP18187/2025-2026/190002,,0,0,0,0,0.0,98,,,,,,False,False,False,False,False,False,False,False,False
WS/MP770/2025-2026/214288,199913.0,1,1,0,0,0.0,159,201,0.999565,0.999565,2026-01-20,228,False,False,False,False,False,False,False,False,False
WS/MP18338/2026-2027/267794,179971.0,1,1,0,0,0.0,48,,0.9998388888888889,,2026-06-19,78,False,False,False,False,False,False,False,False,False
WS/MP18193/2026-2027/188610,296196.0,1,1,0,0,0.0,380,,0.98732,,2026-06-23,74,False,False,False,False,False,False,False,False,False
WS/MP18393/2025-2026/160963,,0,0,0,0,0.0,112,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18194/2025-2026/224180,195906.0,1,1,0,0,0.0,41,,0.97953,,2025-12-22,257,False,False,False,False,False,False,False,False,False
WS/MP18192/2025-2026/204089,,0,0,0,0,0.0,31,,,,,,False,False,False,False,False,False,False,False,False
WS/MP770/2025-2026/204283,99594.0,1,1,0,0,0.0,196,265,0.99594,0.99594,2026-02-17,200,False,False,False,False,False,False,False,False,False
WS/MP18386/2026-2027/271221,499670.0,1,1,0,0,0.0,34,,0.99934,,2026-06-17,80,False,False,False,False,False,False,False,False,False
